store,category,brand,model_name,variant,ram,storage,price,price_text,currency,product_url,source_url,in_stock,scraped_at
GadgetByte Nepal,Mobiles,Samsung,Galaxy Z Fold 7,12GB/256GB,12GB,256GB,279999,"NPR 279,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-z-fold7-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.266474+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy Z Flip 7,12GB/256GB,12GB,256GB,154999,"NPR 154,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/galaxy-z-flip7-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.266666+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26 Ultra,12GB/1TB,12GB,1TB,283999,"NPR 283,999 (12GB+1TB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s26-ultra-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.266796+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26 Ultra,12GB/512GB,12GB,512GB,232999,"NPR 232,999 (12+512GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s26-ultra-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.266852+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26 Ultra,12GB/256GB,12GB,256GB,202999,"NPR 202,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s26-ultra-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.266906+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26 Plus,12GB/256GB,12GB,256GB,159999,"NPR 159,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s26-plus-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267021+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26,12GB/256GB,12GB,256GB,123999,"NPR 123,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s26-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267139+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S25 Ultra,12GB/256GB,12GB,256GB,184999,"NPR 184,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s25-ultra-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267253+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S25 FE 5G,8GB/256GB,8GB,256GB,107999,"NPR 107,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-s25-fe-price-nepal-2/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267370+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A57,8GB/256GB,8GB,256GB,79999,"NPR 79,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a57-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267486+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A57,12GB/256GB,12GB,256GB,84999,"NPR 84,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a57-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267539+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A37,8GB/128GB,8GB,128GB,59999,"NPR 59,999 (8+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a37-5g-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267651+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A37,8GB/256GB,8GB,256GB,67999,"NPR 67,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a37-5g-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267701+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A37,12GB/256GB,12GB,256GB,74999,"NPR 74,999 (12+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a37-5g-price-in-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267747+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A17 5G,6GB/128GB,6GB,128GB,36999,"NPR 36,999 (6+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a17-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267858+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A17 5G,8GB/128GB,8GB,128GB,36999,"NPR 36,999 (8+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a17-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267908+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A17 5G,8GB/256GB,8GB,256GB,44999,"NPR 44,999 (8+256GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a17-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.267954+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy M17 5G,6GB/128GB,6GB,128GB,32999,"NPR 32,999 (6+128GB)",NPR,https://www.gadgetbytenepal.com/galaxy-m17-5g-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268061+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A07,4GB/64GB,4GB,64GB,18999,"NPR 18,999 (4+64GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a07-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268173+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A07,4GB/128GB,4GB,128GB,22499,"NPR 22,499 (4+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a07-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268220+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy A07,6GB/128GB,6GB,128GB,26499,"NPR 26,499 (6+128GB)",NPR,https://www.gadgetbytenepal.com/samsung-galaxy-a07-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268283+00:00
GadgetByte Nepal,Mobiles,Samsung,Galaxy S26+,12GB/256GB,12GB,256GB,151999,"NPR 151,999",NPR,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,https://www.gadgetbytenepal.com/samsung-mobiles-price-nepal/,,2026-07-03T02:26:28.268693+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Redmi A5,3GB/64GB,3GB,64GB,14999,"NPR 14,999 (3+64GB)",NPR,https://www.gadgetbytenepal.com/oppo-a5-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.248503+00:00
