brand,category,currency,in_stock,model_name,price,price_text,product_url,scraped_at,source_url,store,variant
Honor,Mobiles,NPR,True,Honor Play10,17499,"Rs. 17,499",https://www.gadgetbytenepal.com/honor-play10-4g-price-nepal/,2026-07-03T02:00:06.390490+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,3GB/64GB
Honor,Mobiles,NPR,True,Honor Play10,19999,"Rs. 19,999",https://www.gadgetbytenepal.com/honor-play10-4g-price-nepal/,2026-07-03T02:00:06.390675+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Honor,Mobiles,NPR,True,Honor X5c,20499,"Rs. 20,499",https://www.gadgetbytenepal.com/honor-x5c-plus-price-nepal/,2026-07-03T02:00:06.390826+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Honor,Mobiles,NPR,True,Honor X5c Plus,22499,"Rs. 22,499",https://www.gadgetbytenepal.com/honor-x5c-plus-price-nepal/,2026-07-03T02:00:06.390956+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Honor,Mobiles,NPR,True,Honor X6c,23499,"Rs. 23,499",https://www.gadgetbytenepal.com/honor-x6c-price-nepal/,2026-07-03T02:00:06.391097+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Honor,Mobiles,NPR,True,Honor X6c,25499,"Rs. 25,499",https://www.gadgetbytenepal.com/honor-x6c-price-nepal/,2026-07-03T02:00:06.391223+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,6GB/256GB
Honor,Mobiles,NPR,True,Honor X7d,33999,"Rs. 33,999",https://www.gadgetbytenepal.com/honor-x7d-price-nepal/,2026-07-03T02:00:06.391349+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Honor,Mobiles,NPR,True,Honor X7d,37999,"Rs. 37,999",https://www.gadgetbytenepal.com/honor-x7d-price-nepal/,2026-07-03T02:00:06.391457+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/512GB
Honor,Mobiles,NPR,True,Honor X8c,33999,"Rs. 33,999",https://www.gadgetbytenepal.com/honor-x8c-price-nepal/,2026-07-03T02:00:06.391569+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/512GB
Honor,Mobiles,NPR,True,Honor X8d,39999,"Rs. 39,999",https://www.gadgetbytenepal.com/honor-x8d-price-nepal/,2026-07-03T02:00:06.391680+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/128GB
Honor,Mobiles,NPR,True,Honor X8d,43999,"Rs. 43,999",https://www.gadgetbytenepal.com/honor-x8d-price-nepal/,2026-07-03T02:00:06.391790+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Honor,Mobiles,NPR,True,Honor X9d,54999,"Rs. 54,999",https://www.gadgetbytenepal.com/honor-x9d-price-nepal/,2026-07-03T02:00:06.391902+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Honor,Mobiles,NPR,True,Honor X9d,59999,"Rs. 59,999",https://www.gadgetbytenepal.com/honor-x9d-price-nepal/,2026-07-03T02:00:06.392016+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Honor,Mobiles,NPR,True,Honor 600 lite,59999,"Rs. 59,999",https://www.gadgetbytenepal.com/honor-600-lite-price-in-nepal/,2026-07-03T02:00:06.392131+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Honor,Mobiles,NPR,True,Honor 600,84999,"Rs. 84,999",https://www.gadgetbytenepal.com/honor-600-price-in-nepal/,2026-07-03T02:00:06.392244+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Honor,Mobiles,NPR,True,Honor 600,89999,"Rs. 89,999",https://www.gadgetbytenepal.com/honor-600-price-in-nepal/,2026-07-03T02:00:06.392351+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Honor,Mobiles,NPR,True,Honor 600 Pro,129999,"Rs. 129,999",https://www.gadgetbytenepal.com/honor-600-pro-price-in-nepal/,2026-07-03T02:00:06.392464+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Honor,Mobiles,NPR,True,Honor Magic 8 Pro,199999,"Rs. 199,999",https://www.gadgetbytenepal.com/honor-magic-8-pro-price-nepal/,2026-07-03T02:00:06.392574+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,12GB/512GB
Honor,Mobiles,NPR,True,Honor Magic V5,266999,"Rs. 266,999",https://www.gadgetbytenepal.com/honor-magic-v5-price-nepal/,2026-07-03T02:00:06.392686+00:00,https://www.gadgetbytenepal.com/honor-mobiles-price-nepal/,GadgetByte Nepal,16GB/512GB
