brand,category,currency,in_stock,model_name,price,price_text,product_url,scraped_at,source_url,store,variant
Realme,Mobiles,NPR,True,Note 60x,15999,"Rs. 15,999",https://www.gadgetbytenepal.com/realme-note-60x-price-nepal/,2026-07-03T01:58:44.174699+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,3GB/64GB
Realme,Mobiles,NPR,True,Note 60x,16999,"Rs. 16,999",https://www.gadgetbytenepal.com/realme-note-60x-price-nepal/,2026-07-03T01:58:44.174876+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Realme,Mobiles,NPR,True,Note 60x,19999,"Rs. 19,999",https://www.gadgetbytenepal.com/realme-note-60x-price-nepal/,2026-07-03T01:58:44.175011+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Realme,Mobiles,NPR,True,Realme C71,20999,"Rs. 20,999",https://www.gadgetbytenepal.com/realme-c71-price-nepal/,2026-07-03T01:58:44.175132+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Realme,Mobiles,NPR,True,Realme C71,25999,"Rs. 25,999",https://www.gadgetbytenepal.com/realme-c71-price-nepal/,2026-07-03T01:58:44.175243+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Realme,Mobiles,NPR,True,Note 70,15499,"Rs. 15,499",https://www.gadgetbytenepal.com/realme-note-70-price-nepal/,2026-07-03T01:58:44.175367+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Realme,Mobiles,NPR,True,Note 70,20999,"Rs. 20,999",https://www.gadgetbytenepal.com/realme-note-70-price-nepal/,2026-07-03T01:58:44.175478+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Realme,Mobiles,NPR,True,Note 70,23999,"Rs. 23,999",https://www.gadgetbytenepal.com/realme-note-70-price-nepal/,2026-07-03T01:58:44.175583+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Realme,Mobiles,NPR,True,Realme C75,24999,"Rs. 24,999",https://www.gadgetbytenepal.com/realme-c75-price-nepal/,2026-07-03T01:58:44.175856+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/128GB
Realme,Mobiles,NPR,True,Realme C75,26999,"Rs. 26,999",https://www.gadgetbytenepal.com/realme-c75-price-nepal/,2026-07-03T01:58:44.175971+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Realme,Mobiles,NPR,True,Realme C85 Pro,36999,"Rs. 36,999(New)",https://gadgetbytenepal.com/realme-c85-pro-price-nepal/,2026-07-03T01:58:44.176089+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/128GB
Realme,Mobiles,NPR,True,Realme 14T,36999,"Rs. 36,999",https://www.gadgetbytenepal.com/realme-14t-5g-price-nepal/,2026-07-03T01:58:44.176203+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Realme,Mobiles,NPR,True,Realme C38,39999,"Rs. 39,999(New)",https://gadgetbytenepal.com/realme-c85-price-nepal/,2026-07-03T01:58:44.176317+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Realme,Mobiles,NPR,True,Realme 15T,39999,"Rs. 39,999",https://www.gadgetbytenepal.com/realme-15t-price-nepal/,2026-07-03T01:58:44.176430+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Realme,Mobiles,NPR,True,Realme 15T,49999,"Rs. 49,999",https://www.gadgetbytenepal.com/realme-15t-price-nepal/,2026-07-03T01:58:44.176547+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,12GB/512GB
Realme,Mobiles,NPR,True,Realme P3,44999,"Rs. 44,999(New)",https://www.gadgetbytenepal.com/realme-p3-5gprice-in-nepal/,2026-07-03T01:58:44.176664+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Realme,Mobiles,NPR,True,Realme P3 Ultra,65999,"Rs. 65,999(New)",https://www.gadgetbytenepal.com/realme-p3-ultra-5g-price-nepal/,2026-07-03T01:58:44.176776+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Realme,Mobiles,NPR,True,Realme 15 Pro,66999,"Rs. 66,999",https://www.gadgetbytenepal.com/realme-15-pro-price-nepal/,2026-07-03T01:58:44.176883+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Realme,Mobiles,NPR,True,Realme 15 Pro,71999,"Rs. 71,999",https://www.gadgetbytenepal.com/realme-15-pro-price-nepal/,2026-07-03T01:58:44.176987+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,12GB/512GB
Realme,Mobiles,NPR,True,Realme GT 8 Pro,149999,"Rs. 149,999 (New)",https://www.gadgetbytenepal.com/realme-gt8-pro-price-nepal/,2026-07-03T01:58:44.177096+00:00,https://www.gadgetbytenepal.com/realme-mobiles-price-nepal/,GadgetByte Nepal,16GB/512GB
