brand,category,currency,in_stock,model_name,price,price_text,product_url,scraped_at,source_url,store,variant
Tecno,Mobiles,NPR,True,Spark Go 2,16000,"Rs. 16,000 (4/64GB)",https://www.gadgetbytenepal.com/tecno-spark-go-2-price-nepal/,2026-07-03T01:57:52.098414+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Tecno,Mobiles,NPR,True,Spark Go 2,17500,"Rs. 17,500 (4/128GB)",https://www.gadgetbytenepal.com/tecno-spark-go-2-price-nepal/,2026-07-03T01:57:52.098528+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Tecno,Mobiles,NPR,True,Spark Go 3,18999,"Rs. 18,999 (4/64GB)",https://www.gadgetbytenepal.com/tecno-spark-go-3-price-nepal/,2026-07-03T01:57:52.098670+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Tecno,Mobiles,NPR,True,Spark Go 3,19999,"Rs. 19,999 (4/128GB)",https://www.gadgetbytenepal.com/tecno-spark-go-3-price-nepal/,2026-07-03T01:57:52.098732+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Tecno,Mobiles,NPR,True,Spark 30C,16490,"Rs. 16,490 (6/128GB)",https://www.gadgetbytenepal.com/tecno-spark-30c-price-nepal/,2026-07-03T01:57:52.098857+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Tecno,Mobiles,NPR,True,Spark 30C,19990,"Rs. 19,990 (8/256GB)",https://www.gadgetbytenepal.com/tecno-spark-30c-price-nepal/,2026-07-03T01:57:52.098910+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Tecno,Mobiles,NPR,True,Spark 30,22490,"Rs. 22,490 (8/256GB)",https://www.gadgetbytenepal.com/tecno-spark-30-price-nepal/,2026-07-03T01:57:52.099033+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Tecno,Mobiles,NPR,True,Spark 40,18999,"Rs. 18,999 (6/128GB)",https://www.gadgetbytenepal.com/tecno-spark-40-price-nepal/,2026-07-03T01:57:52.099172+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Tecno,Mobiles,NPR,True,Spark 40,24999,"Rs. 24,999 (8/256GB)",https://www.gadgetbytenepal.com/tecno-spark-40-price-nepal/,2026-07-03T01:57:52.099224+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Tecno,Mobiles,NPR,True,Spark 50,26999,"Rs. 26,999 (6/128GB)",https://www.gadgetbytenepal.com/tecno-spark-50-4g-price-in-nepal/,2026-07-03T01:57:52.099340+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Tecno,Mobiles,NPR,True,Spark 40 Pro,33999,"Rs. 33,999 (8/256GB)",https://www.gadgetbytenepal.com/tecno-spark-40-pro-price-nepal-2/,2026-07-03T01:57:52.099456+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Tecno,Mobiles,NPR,True,Pova 6,34990,"Rs. 34,990 (12/256GB)",https://www.gadgetbytenepal.com/tecno-pova-6-price-nepal/,2026-07-03T01:57:52.099572+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Tecno,Mobiles,NPR,True,Pova Curve 2 5G,52999,"Rs. 52,999 (8/256GB)",https://www.gadgetbytenepal.com/tecno-pova-curve-2-price-nepal/,2026-07-03T01:57:52.099688+00:00,https://www.gadgetbytenepal.com/tecno-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
