brand,category,currency,in_stock,model_name,price,price_text,product_url,scraped_at,source_url,store,variant
Vivo,Mobiles,NPR,True,Vivo Y05,21999,"Rs. 21,999",https://www.gadgetbytenepal.com/vivo-y05-price-in-nepal/,2026-07-03T01:57:29.854782+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,4GB/64GB
Vivo,Mobiles,NPR,True,Vivo Y05,24999,"Rs. 24,999",https://www.gadgetbytenepal.com/vivo-y05-price-in-nepal/,2026-07-03T01:57:29.854964+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y11d,27999,"Rs. 27,999",https://www.gadgetbytenepal.com/vivo-y11d-price-in-nepal/,2026-07-03T01:57:29.855106+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,4GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y11d,33999,"Rs. 33,999",https://www.gadgetbytenepal.com/vivo-y11d-price-in-nepal/,2026-07-03T01:57:29.855234+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y21 5G,40999,"Rs. 40,999",https://www.gadgetbytenepal.com/vivo-y21-5g-price-in-nepal/,2026-07-03T01:57:29.855357+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y31d,37999,"Rs. 37,999",https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,2026-07-03T01:57:29.855494+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,6GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y31d,43999,"Rs. 43,999",https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,2026-07-03T01:57:29.855612+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y31d,51999,"Rs. 51,999",https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,2026-07-03T01:57:29.855747+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Vivo,Mobiles,NPR,True,Vivo V60 Lite 4G,43499,"Rs. 43,499",https://www.gadgetbytenepal.com/vivo-v60-lite-5g-price-nepal/,2026-07-03T01:57:29.855921+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Vivo,Mobiles,NPR,True,Vivo V60 Lite 5G,51999,"Rs. 51,999",https://www.gadgetbytenepal.com/vivo-v60-lite-5g-price-nepal/,2026-07-03T01:57:29.856046+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
Vivo,Mobiles,NPR,True,Vivo Y500,54999,"Rs. 54,999",https://www.gadgetbytenepal.com/vivo-y500-price-nepal/,2026-07-03T01:57:29.856168+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/128GB
Vivo,Mobiles,NPR,True,Vivo Y500,61999,"Rs. 61,999",https://www.gadgetbytenepal.com/vivo-y500-price-nepal/,2026-07-03T01:57:29.856408+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Vivo,Mobiles,NPR,True,Vivo V70 FE,62999,"Rs. 62,999",https://www.gadgetbytenepal.com/vivo-v70-fe-price-nepal/,2026-07-03T01:57:29.856578+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,8GB/256GB
Vivo,Mobiles,NPR,True,Vivo V70 FE,72999,"Rs. 72,999",https://www.gadgetbytenepal.com/vivo-v70-fe-price-nepal/,2026-07-03T01:57:29.856714+00:00,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,GadgetByte Nepal,12GB/256GB
