store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Hukut,Mobiles,Samsung,Samsung Galaxy M17,,,,32999,"Rs 32,999",starting,NPR,https://hukut.com/samsung-galaxy-m17,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254272+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy A17 5G,,,,33999,"Rs 33,999",starting,NPR,https://hukut.com/samsung-galaxy-a17-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254439+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy M36 5G,,,,41999,"Rs. 41,999",starting,NPR,https://hukut.com/samsung-galaxy-m36,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254556+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy A36 5G,,,,53999,"Rs. 53,999",starting,NPR,https://hukut.com/samsung-galaxy-a36,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254657+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy A37 5G,,,,64999,"Rs. 64,999",starting,NPR,https://hukut.com/samsung-galaxy-a37,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254754+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy A56 5G,,,,71999,"Rs. 71,999",starting,NPR,https://hukut.com/samsung-galaxy-a56,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254849+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy A57 5G,,,,84999,"Rs. 84,999",starting,NPR,https://hukut.com/samsung-galaxy-a57,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.254945+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy S25 FE,,,,107999,"Rs. 107,999",starting,NPR,https://hukut.com/samsung-galaxy-s25-fe,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255040+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy S25 Ultra,,,,184999,"Rs. 184,999",starting,NPR,https://hukut.com/samsung-galaxy-s25-ultra,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255137+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy S26,,,,133999,"Rs. 133,999",starting,NPR,https://hukut.com/samsung-galaxy-s26,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255233+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy S26+,,,,182999,"Rs. 182,999",starting,NPR,https://hukut.com/samsung-galaxy-s26+,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255335+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy S26 Ultra,,,,212999,"Rs. 212,999",starting,NPR,https://hukut.com/samsung-galaxy-s26-ultra,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255444+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy Z Flip 7,,,,154999,"Rs. 154,999",starting,NPR,https://hukut.com/samsung-galaxy-z-flip7,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255544+00:00
Hukut,Mobiles,Samsung,Samsung Galaxy Z Fold 7,,,,244999,"Rs. 244,999",starting,NPR,https://hukut.com/samsung-galaxy-z-fold7,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.255638+00:00
Hukut,Mobiles,Apple,Apple iPhone 13,,,,80399,"Rs. 80,399",starting,NPR,https://hukut.com/iphone-13-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256412+00:00
Hukut,Mobiles,Apple,iPhone 14,,,,93499,"Rs. 93,499",starting,NPR,https://hukut.com/iphone-14-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256541+00:00
Hukut,Mobiles,Apple,Apple iPhone 15,,,,122999,"Rs. 122,999",starting,NPR,https://hukut.com/iphone-15-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256643+00:00
Hukut,Mobiles,Apple,Apple iPhone 16e,,,,102299,"Rs. 102,299",starting,NPR,https://hukut.com/apple-iphone-16e,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256750+00:00
Hukut,Mobiles,Apple,Apple iPhone 16,,,,141499,"Rs. 141,499",starting,NPR,https://hukut.com/iphone-16,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256855+00:00
Hukut,Mobiles,Apple,Apple iPhone 17e,,,,127799,"Rs. 127,799",starting,NPR,https://hukut.com/apple-iphone-17e,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.256958+00:00
Hukut,Mobiles,Apple,Apple iPhone 17,,,,167999,"Rs. 167,999",starting,NPR,https://hukut.com/apple-iphone-17,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.257050+00:00
Hukut,Mobiles,Apple,Apple iPhone Air,,,,183999,"Rs. 183,999",starting,NPR,https://hukut.com/apple-iphone-air,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.257145+00:00
Hukut,Mobiles,Apple,Apple iPhone 17 Pro,,,,228999,"Rs. 228,999",starting,NPR,https://hukut.com/apple-iphone-17-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.257248+00:00
Hukut,Mobiles,Apple,Apple iPhone 17 Pro Max,,,,248999,"Rs. 248,999",starting,NPR,https://hukut.com/apple-iphone-17-pro-max,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.257349+00:00
Hukut,Mobiles,Xiaomi,Redmi A5 4G,,,,16999,"Rs 16,999",starting,NPR,https://hukut.com/redmi-a5-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.257995+00:00
Hukut,Mobiles,Xiaomi,Redmi 15C,,,,19999,"Rs. 19,999",starting,NPR,https://hukut.com/redmi-15c-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258202+00:00
Hukut,Mobiles,Xiaomi,Redmi 15,,,,24999,"Rs. 24,999",starting,NPR,https://hukut.com/redmi-15-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258310+00:00
Hukut,Mobiles,Xiaomi,Redmi Note 15 4G,,,,29999,"Rs. 29,999",starting,NPR,https://hukut.com/redmi-note-15-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258409+00:00
Hukut,Mobiles,Xiaomi,Redmi Note 15 5G,,,,39999,"Rs. 39,999",starting,NPR,https://hukut.com/redmi-note-15-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258502+00:00
Hukut,Mobiles,Xiaomi,Redmi Note 15 Pro 5G,,,,49999,"Rs. 49,999",starting,NPR,https://hukut.com/redmi-note-15-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258596+00:00
Hukut,Mobiles,Xiaomi,Redmi Note 15 Pro+,,,,59999,"Rs. 59,999",starting,NPR,https://hukut.com/redmi-note-15-pro+,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258691+00:00
Hukut,Mobiles,Xiaomi,Xiaomi 17 Ultra,,,,199999,"Rs. 199,999",starting,NPR,https://hukut.com/xiaomi-17-ultra,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.258794+00:00
Hukut,Mobiles,Poco,POCO X7 Pro,,,,59999,"Rs. 59,999",starting,NPR,https://hukut.com/poco-x7-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.259537+00:00
Hukut,Mobiles,Poco,POCO X8 Pro,,,,63999,"Rs. 63,999",starting,NPR,https://hukut.com/xiaomi-poco-x8-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.259674+00:00
Hukut,Mobiles,Poco,POCO X8 Pro Max,,,,79999,"Rs. 79,999",starting,NPR,https://hukut.com/xiaomi-poco-x8-pro-max,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.259864+00:00
Hukut,Mobiles,Poco,POCO F8 Pro,,,,99999,"Rs. 99,999",starting,NPR,https://hukut.com/poco-f8-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.259970+00:00
Hukut,Mobiles,Honor,Honor Play10,,,,12499,"Rs. 12,499",starting,NPR,https://hukut.com/honor-play-10,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.260823+00:00
Hukut,Mobiles,Honor,Honor X5c,,,,15999,"Rs. 15,999",starting,NPR,https://hukut.com/honor-x5c,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.260987+00:00
Hukut,Mobiles,Honor,Honor X5c Plus,,,,17999,"Rs. 17,999",starting,NPR,https://hukut.com/honor-x5c-plus,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261108+00:00
Hukut,Mobiles,Honor,Honor X6c,,,,19999,"Rs. 19,999",starting,NPR,https://hukut.com/honor-x6c,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261264+00:00
Hukut,Mobiles,Honor,Honor X7d,,,,30999,"Rs. 30,999",starting,NPR,https://hukut.com/honor-x7d-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261379+00:00
Hukut,Mobiles,Honor,Honor X8c,,,,34999,"Rs. 34,999",starting,NPR,https://hukut.com/honor-x8c,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261485+00:00
