store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi A1,2GB/32GB,2GB,32GB,12000,"Rs. 12,000.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-a1-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.536636+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi A1 Plus,2GB/32GB,2GB,32GB,12499,"Rs. 12,499.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-a1-plus-2gb-32gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.537895+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi A1 Plus,3GB/32GB,3GB,32GB,13999,"Rs. 13,999.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-a1-plus-3gb-32gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.538690+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 10 Pro,8GB/128GB,8GB,128GB,34999,"Rs. 34,999.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-10-pro-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,,2026-07-03T05:06:57.539344+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11,6GB/128GB,6GB,128GB,28000,"Rs. 28,000.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11-6gb-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,,2026-07-03T05:06:57.539964+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11,4GB/64GB,4GB,64GB,24000,"Rs. 24,000.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,,2026-07-03T05:06:57.540757+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11 Pro,8GB/128GB,8GB,128GB,37000,"Rs. 37,000.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11-pro-8gb-128gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,,2026-07-03T05:06:57.541367+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11 Pro 5G,6GB/128GB,6GB,128GB,38500,"Rs. 38,500.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11-pro-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.542017+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11 Pro 5G,8GB/128GB,8GB,128GB,41500,"Rs. 41,500.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11-pro-5g-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.542668+00:00
Yantra Nepal,Mobiles,Xiaomi,Xiaomi Redmi Note 11S,8GB/128GB,8GB,128GB,33000,"Rs. 33,000.00",exact,NPR,https://yantranepal.com/xiaomi-redmi-note-11s-8gb-128gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=17,True,2026-07-03T05:06:57.543267+00:00
