store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Yantra Nepal,Mobiles,All,All New Samsung Galaxy A04e,32GB/3GB,32GB,3GB,14849,"Rs. 14,849.00",exact,NPR,https://yantranepal.com/all-new-samsung-galaxy-a04e-32gb-3gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,True,2026-07-03T05:07:13.371723+00:00
Yantra Nepal,Mobiles,Blackview,Blackview A100,6GB/128GB,6GB,128GB,22449,"Rs. 22,449.00",exact,NPR,https://yantranepal.com/blackview-a100-6gb-128gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,,2026-07-03T05:07:13.374890+00:00
Yantra Nepal,Mobiles,Blackview,Blackview A52 Pro Smartphone,4GB/128GB,4GB,128GB,11999,"Rs. 11,999.00",exact,NPR,https://yantranepal.com/blackview-a52-pro-4gb-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,,2026-07-03T05:07:13.375525+00:00
Yantra Nepal,Mobiles,Blackview,Blackview A52 Pro Smartphone,6GB/128GB,6GB,128GB,12999,"Rs. 12,999.00",exact,NPR,https://yantranepal.com/blackview-a52-pro-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,,2026-07-03T05:07:13.376133+00:00
Yantra Nepal,Mobiles,Blackview,Blackview A70,3GB/32GB,3GB,32GB,12600,"Rs. 12,600.00",exact,NPR,https://yantranepal.com/blackview-a70-3gb-32gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,,2026-07-03T05:07:13.377222+00:00
Yantra Nepal,Mobiles,Blackview,Blackview A90,4GB/64GB,4GB,64GB,16399,"Rs. 16,399.00",exact,NPR,https://yantranepal.com/blackview-a90-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=1,,2026-07-03T05:07:13.378028+00:00
Yantra Nepal,Mobiles,Honor,Honor 10 Lite,3GB/64GB,3GB,64GB,18999,"Rs. 18,999.00",exact,NPR,https://yantranepal.com/honor-10-lite-3gb-64gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.598001+00:00
Yantra Nepal,Mobiles,Honor,Honor 20 Lite,4GB/128GB,4GB,128GB,25999,"Rs. 25,999.00",exact,NPR,https://yantranepal.com/honor-20-lite-4gb-128gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.598496+00:00
Yantra Nepal,Mobiles,Honor,Honor 90 5G,12GB/256GB,12GB,256GB,58990,"Rs. 58,990.00",exact,NPR,https://yantranepal.com/honor-90-5g-diamond-silver-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.599217+00:00
Yantra Nepal,Mobiles,Honor,Honor 90 5G,12GB/512GB,12GB,512GB,63990,"Rs. 63,990.00",exact,NPR,https://yantranepal.com/honor-90-5g-diamond-silver-512gb-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.599796+00:00
Yantra Nepal,Mobiles,Honor,Honor 90 Lite 5G,8GB/256GB,8GB,256GB,31990,"Rs. 31,990.00",exact,NPR,https://yantranepal.com/honor-90-lite-5g-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.600271+00:00
Yantra Nepal,Mobiles,Honor,Honor 9X,6GB/128GB,6GB,128GB,25200,"Rs. 25,200.00",exact,NPR,https://yantranepal.com/honor-9x-price-in-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=2,True,2026-07-03T05:07:17.600727+00:00
Yantra Nepal,Mobiles,Honor,Honor X5 Plus,4GB/64GB,4GB,64GB,13990,"Rs. 13,990.00",exact,NPR,https://yantranepal.com/honor-x5-plus-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=3,True,2026-07-03T05:07:20.371276+00:00
Yantra Nepal,Mobiles,Honor,Honor X6,4GB/64GB,4GB,64GB,19000,"Rs. 19,000.00",exact,NPR,https://yantranepal.com/honor-x6-4gb-64gb/,https://yantranepal.com/mobile-price-in-nepal?_paged=3,True,2026-07-03T05:07:20.371752+00:00
Yantra Nepal,Mobiles,Honor,"Honor X6a (Cyan Blue, 4GB | 128GB) – 6.5-Inch 90Hz Fullview Display, 5200 mAh Long-lasting Battery, 50MP Triple Camera",4GB/128GB,4GB,128GB,15990,"Rs. 15,990.00",exact,NPR,https://yantranepal.com/honor-x6a-price-nepal/,https://yantranepal.com/mobile-price-in-nepal?_paged=3,True,2026-07-03T05:07:20.372883+00:00
